Designator,Mid X (mm),Mid Y (mm),Layer,Rotation
R17,89.789,83.9283,Top,180
R16,93.1763,82.042,Top,90
R15,89.1915,90.805,Top,0
R14,89.6245,81.534,Top,180
R13,96.7365,88.3044,Top,180
R12,140.335,118.999,Top,360
R11,146.939,98.171,Top,180
R10,146.177,95.123,Top,90
R9,146.177,91.4188,Top,90
R8,147.828,113.284,Top,180
Q5,88.9773,86.9525,Top,0
Q4,98.6805,83.2601,Top,0
Q2,129.032,124.587,Top,90
L2,150.092,90.043,Top,270
SPKR,72.517,77.852,Top,360
J6,157.631,58.165,Top,0
J5,164.847,78.9505,Top,90
J4,74.296,89.027,Top,270
J3,74.04,111.935,Top,270
MAIN,164.847,111.9347,Top,90
D2,92.964,92.2255,Top,270
D1,92.9227,86.5463,Top,270
C21,91.948,76.8559,Top,180
C20,85.2625,78.74,Top,270
C19,85.471,84.1193,Top,90
C14,145.669,88.519,Top,180
C13,152.4,100.711,Top,360
D10,153.6533,73.279,Top,360
D9,85.4543,73.279,Top,360
D8,87.5197,127,Top,180
D7,151.2403,127,Top,0
U3,109.347,112.776,Top,180
U2,151.257,96.012,Top,90
U1,152.273,109.982,Top,90
,157.5888,99.822,Top,90
STM32,119.126,98.171,Top,0
STM32_OK,120.4348,79.375,Top,360
S1,108.458,124.46,Top,180
R7,147.066,110.236,Top,90
R6,147.066,106.5318,Top,90
R5,130.048,119.761,Top,0
R4,124.714,84.455,Top,0
R3,124.714,82.169,Top,0
R2,124.714,79.375,Top,0
R1,133.985,88.265,Top,360
Q3,153.162,79.629,Top,360
Q1,149.86,122.682,Top,0
L1,151.152,104.902,Top,270
J2,119.4816,124.536,Top,0
J1,108.331,86.868,Top,270
ILI9341,81.3888,99.822,Top,270
F1,139.573,124.714,Top,180
ERROR,120.396,82.2292,Top,180
D3,119.253,117.602,Top,270
CAN_FAULT,120.396,84.455,Top,180
C18,96.393,90.6186,Top,180
C17,121.92,88.9,Top,270
C16,104.394,113.919,Top,270
C15,114.3,112.776,Top,270
C12,146.558,103.505,Top,180
C11,153.543,114.681,Top,360
C10,108.458,95.377,Top,90
C9,110.5023,95.377,Top,90
C8,114.681,108.204,Top,0
C7,129.413,102.616,Top,270
C6,124.5343,88.138,Top,180
C5,115.189,87.757,Top,180
C4,114.681,106.1598,Top,0
C3,127.127,102.616,Top,270
C2,124.5343,90.1823,Top,180
C1,115.189,89.8013,Top,180
BRD_ON,129.7058,88.138,Top,360
